sample	r1	r2	r3	r4	r5	r6	r7	r8	r9	r10	r11	r12	r13	r14	r15	r16	r17	r18	r19	r20	r21	r22	r23	r24	r25	r26	r27	r28	r29	r30	r31	r32	r33	r34	r35	r36	r37	r38	r39	r40	r41	r42	r43	r44	r45	r46	r47	r48	r49	r50
moss_0.01_8x_25.hist	66462273	5429452	1229695	486253	248005	155922	150091	134073	100285	64852	75647	37306	48261	48163	24921	22712	36025	27585	5601	13786	26039	8885	3849	7278	15552	8639	1949	2224	13182	6590	1951	578	3375	10125	5471	340	97	51	12062	1043	346	141	73	7874	1688	561	250	82	26	9604
moss_0.001_2x_HiSeq2500L150R.hist	62099611	10181164	2309878	860203	491241	310990	384233	342468	134845	68770	45776	51726	71914	118741	63985	71169	41026	17093	2718	3323	6276	10274	48804	94896	19376	10763	2429	781	259	128	37	10	3	0	78987	4935	1418	772	153	7	1	0	0	0	0	0	0	0	0	50756
moss_0.01_2x_HiSeq2500L150R.hist	69044062	10452394	1872991	728875	409887	257399	332936	163575	64407	51589	60176	67998	77903	43064	22283	32244	51145	43185	6869	3739	2861	4684	22250	43262	18974	10540	2379	765	254	126	36	9	2	0	45373	4660	1338	729	144	7	1	0	0	0	0	0	0	0	0	33583
moss_0.001_4x_novaseq_profR.hist	53681239	7618025	1625668	678283	349303	216633	225638	201559	162351	82798	66903	75600	83223	46005	23805	24772	39293	52454	35459	19304	12521	9103	43241	21144	3799	12157	2941	7842	24394	12196	3612	1072	427	48	24297	7541	2167	1181	235	12	831	13930	7393	2771	460	152	67	21	6	20513
moss_0.01_8x_novaseq_profR.hist	66416620	5349697	1215808	480594	244846	154192	154585	118190	115579	58944	61426	62881	30797	50850	29243	24710	35863	14942	13904	22102	14335	4478	13549	9742	9794	5440	2974	7932	10506	5252	1555	461	5991	9850	3133	194	55	3416	10332	573	190	76	297	8105	1349	448	200	65	20	9605
moss_0.01_1x_novaseq_profR.hist	63724061	8163473	1262008	542260	304643	191210	317890	156183	61496	31362	29385	33204	46162	76221	87856	27953	16113	6712	1726	4249	8026	13139	57476	16817	988	548	122	38	11	4	0	0	32800	16286	5181	322	91	49	8	0	0	0	0	0	0	0	0	0	0	34263
moss_0.001_8x_HiSeq2500L150R.hist	56114911	22508741	4312674	1631790	919401	577947	502983	247122	174155	199233	205589	101390	48501	80083	99361	78889	45476	18947	17424	42890	76296	23841	10330	8791	18784	60108	16464	5301	3449	48293	14308	4250	1699	195	25297	31528	9063	4942	987	53	16	7127	23303	8737	1455	484	216	71	22	31778
moss_0.01_4x_25.hist	65820868	6066258	1257381	521466	263420	163498	169116	151068	105118	57917	67557	67060	25745	34993	43416	44191	25474	10613	6407	15771	29788	16939	7339	2146	3507	11223	10861	3496	7728	9685	2868	851	339	38	20623	1287	369	200	39	1	5304	6568	3485	1306	216	71	30	9	2	13268
moss_0.01_1x_HiSeq2500L150R.hist	74447526	13427861	2889794	1058666	517113	332217	166632	148849	224838	229646	111188	54834	21051	21931	27209	39373	62453	83372	13262	7219	4682	1462	752	1461	3122	9992	23781	63415	31459	15728	4659	1383	552	62	18	0	0	0	0	0	0	0	0	0	0	0	0	0	0	60177
moss_0.0_2x_23.hist	51331137	10879241	1924666	822550	455166	283250	256068	125809	96682	110603	129014	145785	55970	30939	18834	27254	43229	57709	62669	34119	22130	6914	2995	3817	8157	26103	58446	18820	6272	3135	927	274	108	11	2	24227	23957	13066	2612	144	47	18	8	2	0	0	0	0	0	42984
moss_0.001_8x_23.hist	55040671	6746774	1542229	620730	315976	199304	208864	186574	130710	87953	102594	50596	58143	48990	50315	23670	37544	50120	20217	15370	29031	27068	11728	15173	21054	11695	3867	10311	15676	7837	2321	688	19035	6212	1975	122	34	15443	6060	335	110	44	7285	9008	1500	499	222	73	23	15868
moss_0.001_2x_20.hist	55294968	11520305	1989435	848955	467794	290385	252313	123964	94211	107776	125717	142060	78696	43502	22510	16109	25551	34109	71809	45281	29370	9177	3975	3543	7570	24223	57649	18564	6187	3092	915	270	107	11	2	25296	20811	11350	2269	125	40	15	7	1	0	0	0	0	0	44323
moss_0.0_2x_MiSeqv3L250R.hist	52064633	10218056	1879060	800564	439089	271803	227106	111579	125782	143894	152932	75421	28955	25376	31484	45559	72265	82394	13107	7135	4627	3947	18750	36458	53868	29925	6756	2174	723	360	105	30	11	0	44530	22476	6460	3523	703	38	11	3	1	0	0	0	0	0	0	46595
moss_0.001_1x_20.hist	56559090	9596302	2014890	827421	404484	253233	166447	148684	224589	256929	124398	61349	23552	13019	12978	18779	29786	39763	83710	64377	41757	13048	5653	1653	96	52	10	2	1714	23995	70680	21000	8399	967	306	18	4	1	0	0	0	0	0	0	0	0	0	0	0	61385
moss_0.01_2x_MiSeqv3L250R.hist	65624095	7715673	1320129	561740	307031	189651	161917	79551	63347	72469	84532	95520	46381	25638	15767	22815	36189	48310	25716	14000	9080	2836	2234	4343	9279	29693	16122	5190	1729	863	254	74	28	2	0	23603	9705	5293	1057	57	18	6	2	0	0	0	0	0	0	25772
