sample	r1	r2	r3	r4	r5	r6	r7	r8	r9	r10	r11	r12	r13	r14	r15	r16	r17	r18	r19	r20	r21	r22	r23	r24	r25	r26	r27	r28	r29	r30	r31	r32	r33	r34	r35	r36	r37	r38	r39	r40	r41	r42	r43	r44	r45	r46	r47	r48	r49	r50	genome_length
rotifer_0.01_2x_30.hist	90250603	2043501	390785	158075	73625	46705	44673	39904	34536	17612	8526	4480	6228	10282	12756	5057	2914	1213	751	1848	3491	5715	4119	1204	69	37	7	1	2295	3475	1028	304	120	12	3	0	0	0	2399	1565	520	212	111	40	5	0	0	0	0	2664	99784683
rotifer_0.001_1x_17.hist	88137315	5127688	618863	261392	145499	90852	110117	54101	21301	10862	11104	12547	17443	28801	28106	8941	5153	2146	340	184	118	37	176	341	729	2333	5551	14804	4933	2465	729	215	85	8	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11700	103268916
rotifer_0.001_2x_17.hist	90095971	3723420	761152	274106	153248	96894	82972	74117	43790	22332	10811	6515	9057	14954	18553	16057	9255	3855	612	457	862	1411	6702	13030	1926	1069	240	76	24	11	2	0	1793	5378	6142	382	109	58	10	0	0	0	0	0	0	0	0	0	0	7400	101125411
rotifer_0.001_8x_17.hist	86739566	3278160	615624	243357	119927	75574	72839	35786	39293	32611	15788	13892	19313	10675	6685	9673	8632	3595	3078	7577	6097	1904	824	1601	3421	4733	1067	342	113	731	5075	1507	601	68	20	0	0	3672	2403	132	43	16	7	1	0	0	0	0	0	21494	87081639
rotifer_0.0_1x_17.hist	90540109	4257913	955470	331382	170780	110058	35647	31842	48097	55023	64181	35314	13557	7493	3876	1232	709	294	329	809	1527	2499	11870	23080	1356	752	168	53	16	7	1	0	9183	1058	335	19	4	1	0	0	0	0	0	0	0	0	0	0	0	11066	102241554
rotifer_0.0_8x_17.hist	86160006	3379004	649757	255783	125597	79350	76825	54114	23750	27169	31691	20098	7715	9008	11175	11030	6357	3500	7368	6567	4259	1329	2186	4249	3859	2143	482	154	340	4763	3207	951	379	42	12	0	3508	2358	470	25	7	2	0	0	0	0	0	0	17460	13093	86565068
rotifer_0.001_2x_30.hist	86140708	3190876	603927	231713	125558	77135	48145	23785	35927	41100	25153	12403	4761	7197	8929	12920	14833	6179	982	533	896	1466	6966	7996	469	545	1296	3457	1151	574	169	49	18	1	4079	3569	1025	558	110	5	0	0	0	0	0	0	2456	2149	715	428	100588833
rotifer_0.01_2x_17.hist	94235942	2432507	538279	190404	103161	65539	46913	41906	47531	24239	11735	5786	2742	4528	5617	8127	12890	6514	1035	562	363	258	1226	2383	5092	3158	712	228	75	36	9	1	0	0	7215	449	128	69	12	0	0	0	0	0	0	0	0	0	0	3959	101561713
rotifer_0.01_8x_17.hist	90679416	2284062	428329	168885	81775	51496	59418	30535	18060	20659	18069	8910	6973	11513	7359	2340	3140	4191	4840	2634	1707	532	1945	3781	1903	1056	237	75	168	2351	2560	759	302	33	9	0	250	2636	526	28	8	2	0	0	1372	456	203	66	21	11	89066992
rotifer_0.06_8x_23.hist	99154214	660137	89260	35905	16298	10200	4618	2395	2227	1135	901	1017	853	470	242	350	473	196	97	240	278	85	41	78	167	92	19	5	22	155	45	12	3	0	107	29	7	3	0	0	0	0	4	29	3	0	0	0	0	0	100647946
rotifer_0.06_1x_23.hist	101020894	882462	133575	45134	20655	13197	1233	1100	1661	1899	2215	2170	832	459	236	74	41	16	8	21	38	62	296	575	226	124	27	7	1	0	0	0	25	74	122	6	0	0	0	0	0	0	0	0	0	0	0	0	0	88	103302654
rotifer_0.06_8x_25.hist	99301588	664686	89299	35985	16444	10243	4257	2090	2410	1228	1018	1056	404	616	699	221	141	188	299	162	104	164	224	64	127	70	14	3	116	111	32	8	2	0	0	67	48	25	4	0	0	0	0	8	0	0	0	0	0	0	100648521
rotifer_0.06_4x_20.hist	99942590	810943	80822	32459	17593	10810	4487	2203	918	1049	1223	1381	788	435	224	204	323	431	198	107	68	92	357	103	5	15	35	93	131	64	18	4	0	0	0	28	78	41	7	0	0	0	0	52	7	1	0	0	0	8	101538783
rotifer_0.06_1x_25.hist	99680121	826109	98624	34290	17806	11364	2677	2391	3610	2917	1411	695	265	145	74	52	82	109	229	563	980	305	131	37	1	0	0	0	0	0	0	0	0	0	0	20	147	79	14	0	0	0	0	0	0	0	0	0	0	28	101662771
rotifer_0.06_8x_20.hist	99105130	674164	86676	35062	16250	10060	5290	2598	1617	1849	894	637	884	560	288	303	448	185	56	136	257	321	138	39	17	53	127	129	42	20	4	0	9	27	118	6	0	0	0	19	35	13	6	1	0	0	0	0	0	36	100666255
rotifer_0.06_2x_30.hist	98876925	793836	76325	30097	16933	10636	5637	5035	1981	1009	487	431	599	988	980	311	178	73	38	94	177	288	230	66	6	19	44	117	38	18	4	0	35	105	113	6	0	0	0	0	0	0	35	12	1	0	0	0	0	0	100773434
rotifer_0.06_1x_30.hist	99154869	848160	97893	34056	17717	11311	2607	2328	3516	2955	1430	704	269	147	75	62	97	129	272	669	779	242	104	29	0	0	0	0	0	0	0	0	82	210	65	3	0	0	0	0	0	0	0	0	0	0	0	0	0	24	101069128
rotifer_0.06_4x_30.hist	98990722	786359	79358	32039	17008	10305	3274	1607	2427	1779	860	423	489	807	715	226	129	172	361	231	149	45	44	85	182	236	52	15	4	1	165	48	18	1	0	0	0	0	120	5	0	0	0	0	0	0	0	0	0	28	100847513
rotifer_0.06_2x_25.hist	99555834	733977	75078	30473	16764	10395	6416	3151	1239	657	765	864	1200	809	418	132	75	42	88	217	409	389	167	48	1	0	0	0	15	213	62	17	5	0	45	18	4	1	0	0	32	37	18	6	0	0	0	0	0	0	101199798
rotifer_0.06_4x_25.hist	99303921	736046	79579	32866	16949	10043	2643	2360	3212	1637	791	389	421	694	860	272	156	64	71	175	331	270	116	33	12	37	88	233	76	37	10	2	15	44	63	2	0	0	0	0	0	0	0	55	8	1	0	0	0	59	100963214
rotifer_0.06_1x_20.hist	101244848	852466	143876	48501	21843	13896	1026	916	1382	1580	1842	2081	1340	739	381	120	68	27	11	28	52	84	399	776	44	23	4	0	0	0	0	0	0	0	0	0	203	110	21	0	0	0	0	0	0	0	0	0	0	22	103581250
rotifer_0.06_2x_20.hist	99809391	792863	79072	31763	17458	10821	6665	3273	1288	655	668	754	1047	1073	554	175	100	40	49	121	228	373	335	97	4	1	0	0	0	0	0	0	304	34	9	0	0	0	0	0	0	0	0	0	0	0	0	39	25	14	101499978
rotifer_0.06_8x_30.hist	99128477	670706	88185	35562	16295	10143	3913	2124	2542	1295	774	874	874	482	248	300	475	197	100	246	283	87	93	180	94	51	23	60	108	53	14	3	12	36	80	28	10	5	0	0	0	0	17	24	3	0	0	0	0	0	100712190
rotifer_0.06_2x_23.hist	99462451	794312	77512	30815	17191	10747	6662	4036	1588	809	436	492	683	1127	984	312	178	73	11	27	51	83	394	766	44	23	4	0	0	0	0	0	0	1	197	11	2	0	0	0	53	20	10	2	0	0	0	0	0	28	101303579
rotifer_0.06_4x_23.hist	99260098	784322	78452	31559	17136	10541	4037	1982	1573	1799	1511	744	284	469	581	387	222	263	381	206	133	40	16	17	36	115	274	87	28	13	29	58	22	1	0	0	0	0	89	27	8	2	0	0	0	0	0	0	0	52	100945353
